,average_covered_charges,average_medicare_payments,average_total_payments,drg_definition,hospital_referral_region_hrr_description,provider_city,provider_id,provider_name,provider_state,provider_street_address,provider_zip_code,total_discharges
5957,37235.62,5072.45,6178.93,389 - G.I. OBSTRUCTION W CC,NY - East Long Island,SMITHTOWN,330401,ST CATHERINE OF SIENA HOSPITAL,NY,50 ROUTE 25A,11787,29
5958,16545.21,2975.36,4192.29,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Albany,KINGSTON,330004,HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS,NY,396 BROADWAY,12401,14
5959,9632.36,4716.83,6434.81,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Buffalo,BUFFALO,330005,KALEIDA HEALTH,NY,"726 EXCHANGE STREET, SUITE 522",14210,36
5960,12729.50,2392.93,3705.21,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Binghamton,BINGHAMTON,330011,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",NY,169 RIVERSIDE DRIVE,13905,14
5961,18726.18,3080.41,7035.12,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Albany,ALBANY,330013,ALBANY MEDICAL CENTER HOSPITAL,NY,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",12208,17
5962,19268.81,3515.31,5261.88,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Albany,POUGHKEEPSIE,330023,VASSAR BROTHERS MEDICAL CENTER,NY,45 READE PLACE,12601,16
5963,19778.33,5788.56,8263.67,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Manhattan,NEW YORK,330024,MOUNT SINAI HOSPITAL,NY,ONE GUSTAVE L LEVY PLACE,10029,27
5964,29641.47,4381.95,5687.53,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - East Long Island,BAY SHORE,330043,SOUTHSIDE HOSPITAL,NY,301 EAST MAIN STREET,11706,19
5965,13520.59,3142.71,4074.59,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Elmira,UTICA,330044,FAXTON-ST LUKE'S HEALTHCARE,NY,1656 CHAMPLIN AVENUE,13503,17
5966,25598.88,2889.40,5128.24,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - East Long Island,HUNTINGTON,330045,HUNTINGTON HOSPITAL,NY,270 PARK AVENUE,11743,25
5967,31666.36,6759.36,8292.09,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Manhattan,NEW YORK,330046,MOUNT SINAI WEST,NY,1000 TENTH AVENUE,10019,11
5968,20978.75,5610.65,7377.65,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - East Long Island,FLUSHING,330055,NEW YORK-PRESBYTERIAN/QUEENS,NY,56-45 MAIN STREET,11355,20
5969,12307.00,2670.58,3893.08,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Albany,ALBANY,330057,ST PETER'S HOSPITAL,NY,315 SOUTH MANNING BOULEVARD,12208,12
5970,34907.38,7743.91,10246.34,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Bronx,BRONX,330059,MONTEFIORE MEDICAL CENTER,NY,111 EAST 210TH STREET,10467,32
5971,21267.65,3707.94,5127.12,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - White Plains,BRONXVILLE,330061,LAWRENCE HOSPITAL CENTER,NY,55 PALMER AVENUE,10708,17
5972,9618.42,3386.42,5663.08,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Buffalo,BUFFALO,330078,SISTERS OF CHARITY HOSPITAL,NY,2157 MAIN STREET,14214,12
5973,10589.53,2946.53,4449.82,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Elmira,ELMIRA,330090,ARNOT OGDEN MEDICAL CENTER,NY,600 ROE AVENUE,14905,17
5974,29118.24,6209.43,8069.38,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Manhattan,NEW YORK,330101,NEW YORK-PRESBYTERIAN HOSPITAL,NY,525 EAST 68TH STREET,10065,58
5975,31891.80,4058.55,5081.95,390 - G.I. OBSTRUCTION W/O CC/MCC,NJ - Hackensack,NYACK,330104,NYACK HOSPITAL,NY,160 NORTH MIDLAND AVENUE,10960,20
5976,37779.42,4640.02,6792.00,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - East Long Island,MANHASSET,330106,NORTH SHORE UNIVERSITY HOSPITAL,NY,300 COMMUNITY DRIVE,11030,50
5977,29651.94,4277.67,5699.39,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - East Long Island,RIVERHEAD,330107,PECONIC BAY MEDICAL CENTER,NY,1300 ROANOKE AVENUE,11901,18
5978,41165.25,4438.20,7209.15,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Manhattan,NEW YORK,330119,LENOX HILL HOSPITAL,NY,100 EAST 77TH STREET,10021,20
5979,13447.67,3166.50,5011.08,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Rochester,ROCHESTER,330125,ROCHESTER GENERAL HOSPITAL,NY,1425 PORTLAND AVENUE,14621,12
5980,25208.76,3863.15,4835.38,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - White Plains,MIDDLETOWN,330126,ORANGE REGIONAL MEDICAL CENTER,NY,707 EAST MAIN STREET,10940,34
5981,8039.33,4585.75,5730.33,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Albany,COOPERSTOWN,330136,MARY IMOGENE BASSETT HOSPITAL,NY,ONE ATWELL ROAD,13326,12
5982,11678.76,3155.14,4367.76,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Syracuse,SYRACUSE,330140,ST JOSEPH'S HOSPITAL HEALTH CENTER,NY,301 PROSPECT AVENUE,13203,21
5983,36594.96,3287.61,6003.07,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - East Long Island,PATCHOGUE,330141,BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,NY,101 HOSPITAL ROAD,11772,28
5984,14975.50,3072.69,5026.38,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Albany,SCHENECTADY,330153,ELLIS HOSPITAL,NY,1101 NOTT STREET,12308,16
5985,9498.08,4704.15,5811.85,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Syracuse,WATERTOWN,330157,SAMARITAN MEDICAL CENTER,NY,830 WASHINGTON STREET,13601,13
5986,36843.59,3745.41,4805.24,390 - G.I. OBSTRUCTION W/O CC/MCC,NJ - Ridgewood,SUFFERN,330158,GOOD SAMARITAN HOSPITAL OF SUFFERN,NY,255 LAFAYETTE AVENUE,10901,17
5987,21657.15,4898.15,6830.48,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Manhattan,STATEN ISLAND,330160,STATEN ISLAND UNIVERSITY HOSPITAL,NY,475 SEAVIEW AVENUE,10305,27
5988,14544.58,3270.50,4871.13,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - White Plains,MOUNT KISCO,330162,NORTHERN WESTCHESTER HOSPITAL,NY,400 EAST MAIN STREET,10549,24
5989,9750.18,3746.73,4802.73,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Buffalo,LOCKPORT,330163,EASTERN NIAGARA HOSPITAL,NY,521 EAST AVENUE,14094,11
5990,7308.00,3741.64,5018.86,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Rochester,ROCHESTER,330164,HIGHLAND HOSPITAL,NY,1000 SOUTH AVENUE,14620,14
5991,27985.83,4390.10,7235.13,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - East Long Island,MINEOLA,330167,WINTHROP-UNIVERSITY HOSPITAL,NY,259 FIRST STREET,11501,40
5992,36215.31,5813.65,7926.08,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Manhattan,NEW YORK,330169,MOUNT SINAI BETH ISRAEL/PETRIE CAMPUS,NY,FIRST AVENUE AT 16TH STREET,10003,49
5993,13601.00,2632.45,3952.18,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Albany,TROY,330180,SAMARITAN HOSPITAL,NY,2215 BURDETT AVENUE,12180,11
5994,22768.08,3119.20,4663.60,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - East Long Island,ROSLYN,330182,"ST FRANCIS HOSPITAL, ROSLYN",NY,100 PORT WASHINGTON BOULEVARD,11576,25
5995,36191.23,4008.31,5464.77,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - East Long Island,PORT JEFFERSON,330185,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,NY,75 NORTH COUNTRY ROAD,11777,13
5996,17410.37,2519.68,3914.68,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Albany,GLENS FALLS,330191,GLENS FALLS HOSPITAL,NY,100 PARK STREET,12801,19
5997,24415.88,7072.38,9091.94,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Manhattan,BROOKLYN,330194,MAIMONIDES MEDICAL CENTER,NY,4802 TENTH AVENUE,11219,16
5998,33693.02,5875.22,8010.04,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - East Long Island,NEW HYDE PARK,330195,LONG ISLAND JEWISH MEDICAL CENTER,NY,270 - 05 76TH AVENUE,11040,45
5999,9419.65,3184.88,4245.59,390 - G.I. OBSTRUCTION W/O CC/MCC,VT - Burlington,POTSDAM,330197,CANTON-POTSDAM HOSPITAL,NY,50 LEROY STREET,13676,17
6000,31153.80,4060.71,5491.46,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - East Long Island,OCEANSIDE,330198,SOUTH NASSAU COMMUNITIES HOSPITAL,NY,ONE HEALTHY WAY,11572,35
6001,28314.69,5529.46,7118.23,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Manhattan,BROOKLYN,330201,KINGSBROOK JEWISH MEDICAL CENTER,NY,585 SCHENECTADY AVENUE,11203,13
6002,11083.73,3733.86,5670.77,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Syracuse,SYRACUSE,330203,CROUSE HOSPITAL,NY,736 IRVING AVENUE,13210,22
6003,40224.83,4933.68,8180.18,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Manhattan,NEW YORK,330214,NYU HOSPITALS CENTER,NY,550 FIRST AVENUE,10016,40
6004,19163.23,2949.31,4129.62,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Syracuse,ROME,330215,"ROME MEMORIAL HOSPITAL, INC",NY,1500 NORTH JAMES STREET,13440,13
6005,19133.45,2479.18,3647.55,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Albany,SARATOGA SPRINGS,330222,SARATOGA HOSPITAL,NY,211 CHURCH STREET,12866,11
6006,8235.36,3209.27,4484.55,390 - G.I. OBSTRUCTION W/O CC/MCC,VT - Burlington,MASSENA,330223,MASSENA MEMORIAL HOSPITAL,NY,1 HOSPITAL DRIVE,13662,11
6007,10925.17,3596.33,5196.08,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Rochester,ROCHESTER,330226,UNITY HOSPITAL OF ROCHESTER,NY,1555 LONG POND ROAD,14626,12
6008,22878.08,5451.08,7633.42,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Manhattan,BROOKLYN,330236,NEW YORK METHODIST HOSPITAL,NY,506 SIXTH STREET,11215,12
6009,7145.45,3311.45,4245.64,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Rochester,DANSVILLE,330238,NICHOLAS H NOYES MEMORIAL HOSPITAL,NY,111  CLARA BARTON STREET,14437,11
6010,5814.24,3035.47,4091.24,390 - G.I. OBSTRUCTION W/O CC/MCC,PA - Erie,JAMESTOWN,330239,WOMAN'S CHRISTIAN ASSOCIATION,NY,207 FOOTE AVENUE,14701,17
6011,23073.23,4801.86,6341.23,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Syracuse,SYRACUSE,330241,UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER,NY,750 EAST ADAMS STREET,13210,22
6012,16344.53,2922.60,4402.80,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Elmira,UTICA,330245,ST ELIZABETH MEDICAL CENTER,NY,2209 GENESEE STREET,13501,15
6013,14551.33,4210.44,5206.06,390 - G.I. OBSTRUCTION W/O CC/MCC,VT - Burlington,PLATTSBURGH,330250,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,NY,75 BEEKMAN STREET,12901,18
6014,33379.15,3654.54,5501.31,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - East Long Island,ROCKVILLE CENTRE,330259,MERCY MEDICAL CENTER,NY,1000 NORTH VILLAGE AVENUE,11570,13
6015,19350.69,3914.54,4905.31,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - White Plains,NEWBURGH,330264,ST LUKE'S CORNWALL HOSPITAL,NY,70 DUBOIS STREET,12550,13
6016,17808.92,2778.50,4388.58,390 - G.I. OBSTRUCTION W/O CC/MCC,CT - New Haven,CARMEL,330273,PUTNAM HOSPITAL CENTER,NY,670 STONELEIGH AVENUE,10512,12
6017,13468.35,5527.53,7719.06,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - Rochester,ROCHESTER,330285,STRONG MEMORIAL HOSPITAL,NY,601 ELMWOOD AVE,14642,17
6018,29365.10,4049.84,5643.48,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - East Long Island,WEST ISLIP,330286,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,NY,1000 MONTAUK HIGHWAY,11795,31
6019,19237.91,3669.43,4729.78,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - White Plains,WHITE PLAINS,330304,WHITE PLAINS HOSPITAL CENTER,NY,41 EAST POST R0AD,10601,23
6020,25962.93,3083.47,6038.60,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - East Long Island,PLAINVIEW,330331,PLAINVIEW HOSPITAL,NY,888 OLD COUNTRY ROAD,11803,15
6021,26715.07,3309.25,4341.75,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - East Long Island,BETHPAGE,330332,ST JOSEPH HOSPITAL,NY,4295 HEMPSTEAD TURNPIKE,11714,28
6022,21758.21,4640.79,6550.36,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - East Long Island,SOUTHAMPTON,330340,SOUTHAMPTON HOSPITAL,NY,240 MEETING HOUSE LANE,11968,14
6023,26589.24,5187.24,7905.10,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - East Long Island,STONY BROOK,330393,UNIVERSITY HOSPITAL ( STONY BROOK ),NY,HEALTH SCIENCES CENTER SUNY,11794,21
6024,32698.11,3449.00,4328.79,390 - G.I. OBSTRUCTION W/O CC/MCC,NY - East Long Island,SMITHTOWN,330401,ST CATHERINE OF SIENA HOSPITAL,NY,50 ROUTE 25A,11787,19
6025,29658.35,6913.65,7949.88,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Albany,KINGSTON,330004,HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS,NY,396 BROADWAY,12401,17
6026,21072.53,8829.84,14235.76,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Buffalo,BUFFALO,330005,KALEIDA HEALTH,NY,"726 EXCHANGE STREET, SUITE 522",14210,38
6027,12891.46,17855.63,19594.71,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Bronx,BRONX,330009,BRONX-LEBANON HOSPITAL CENTER,NY,1276 FULTON AVENUE,10456,24
6028,18479.65,6024.59,6904.53,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Binghamton,BINGHAMTON,330011,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",NY,169 RIVERSIDE DRIVE,13905,17
6029,36828.75,7920.78,10338.48,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Albany,ALBANY,330013,ALBANY MEDICAL CENTER HOSPITAL,NY,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",12208,60
6030,23795.72,9179.06,10367.83,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Manhattan,BROOKLYN,330019,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",NY,2525 KINGS HIGHWAY,11229,18
6031,37335.37,8373.80,9015.03,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Albany,POUGHKEEPSIE,330023,VASSAR BROTHERS MEDICAL CENTER,NY,45 READE PLACE,12601,30
6032,50523.95,12703.32,15993.92,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Manhattan,NEW YORK,330024,MOUNT SINAI HOSPITAL,NY,ONE GUSTAVE L LEVY PLACE,10029,79
6033,31384.86,11598.21,13049.36,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Manhattan,STATEN ISLAND,330028,RICHMOND UNIVERSITY MEDICAL CENTER,NY,355 BARD AVENUE,10304,14
6034,66731.88,9020.58,9977.71,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - East Long Island,BAY SHORE,330043,SOUTHSIDE HOSPITAL,NY,301 EAST MAIN STREET,11706,24
6035,34056.59,7631.19,8605.89,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Elmira,UTICA,330044,FAXTON-ST LUKE'S HEALTHCARE,NY,1656 CHAMPLIN AVENUE,13503,27
6036,46014.17,7747.80,8779.57,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - East Long Island,HUNTINGTON,330045,HUNTINGTON HOSPITAL,NY,270 PARK AVENUE,11743,30
6037,39878.74,12016.91,14100.00,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Manhattan,NEW YORK,330046,MOUNT SINAI WEST,NY,1000 TENTH AVENUE,10019,46
6038,26953.08,6637.33,8077.00,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Albany,AMSTERDAM,330047,ST MARY'S HOSPITAL AT AMSTERDAM,NY,427 GUY PARK AVENUE,12010,12
6039,36796.96,11380.21,13064.36,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - East Long Island,FLUSHING,330055,NEW YORK-PRESBYTERIAN/QUEENS,NY,56-45 MAIN STREET,11355,28
6040,75355.00,15288.06,20343.67,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Manhattan,BROOKLYN,330056,BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,NY,121 DEKALB AVENUE,11201,18
6041,35369.35,5671.60,7223.13,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Albany,ALBANY,330057,ST PETER'S HOSPITAL,NY,315 SOUTH MANNING BOULEVARD,12208,40
6042,84497.70,14675.75,18432.23,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Bronx,BRONX,330059,MONTEFIORE MEDICAL CENTER,NY,111 EAST 210TH STREET,10467,92
6043,43943.67,9224.33,10484.33,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - White Plains,BRONXVILLE,330061,LAWRENCE HOSPITAL CENTER,NY,55 PALMER AVENUE,10708,15
6044,23299.64,10134.18,11484.00,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - White Plains,MOUNT VERNON,330086,MONTEFIORE MOUNT VERNON HOSPITAL,NY,12 NORTH 7TH AVENUE,10550,11
6045,73498.89,13740.25,17003.79,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Manhattan,NEW YORK,330101,NEW YORK-PRESBYTERIAN HOSPITAL,NY,525 EAST 68TH STREET,10065,166
6046,55707.55,8634.86,9667.68,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NJ - Hackensack,NYACK,330104,NYACK HOSPITAL,NY,160 NORTH MIDLAND AVENUE,10960,22
6047,77311.00,10141.81,12473.23,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - East Long Island,MANHASSET,330106,NORTH SHORE UNIVERSITY HOSPITAL,NY,300 COMMUNITY DRIVE,11030,80
6048,67497.96,11728.96,13383.96,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Manhattan,NEW YORK,330119,LENOX HILL HOSPITAL,NY,100 EAST 77TH STREET,10021,27
6049,25831.34,6748.23,8804.63,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Rochester,ROCHESTER,330125,ROCHESTER GENERAL HOSPITAL,NY,1425 PORTLAND AVENUE,14621,35
6050,46252.44,8036.64,9935.08,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - White Plains,MIDDLETOWN,330126,ORANGE REGIONAL MEDICAL CENTER,NY,707 EAST MAIN STREET,10940,25
6051,18530.72,10004.31,11118.28,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Albany,COOPERSTOWN,330136,MARY IMOGENE BASSETT HOSPITAL,NY,ONE ATWELL ROAD,13326,29
6052,21019.80,6566.80,8096.52,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Syracuse,SYRACUSE,330140,ST JOSEPH'S HOSPITAL HEALTH CENTER,NY,301 PROSPECT AVENUE,13203,25
6053,57725.40,8614.40,9966.28,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - East Long Island,PATCHOGUE,330141,BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,NY,101 HOSPITAL ROAD,11772,25
6054,21910.47,6517.67,8443.07,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Albany,SCHENECTADY,330153,ELLIS HOSPITAL,NY,1101 NOTT STREET,12308,15
6055,26245.25,10981.25,11482.00,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Syracuse,WATERTOWN,330157,SAMARITAN MEDICAL CENTER,NY,830 WASHINGTON STREET,13601,12
6056,35190.10,10401.76,12367.83,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Manhattan,STATEN ISLAND,330160,STATEN ISLAND UNIVERSITY HOSPITAL,NY,475 SEAVIEW AVENUE,10305,29
6057,36861.86,7772.67,10867.10,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - White Plains,MOUNT KISCO,330162,NORTHERN WESTCHESTER HOSPITAL,NY,400 EAST MAIN STREET,10549,21
6058,11833.47,7087.27,8506.80,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Rochester,ROCHESTER,330164,HIGHLAND HOSPITAL,NY,1000 SOUTH AVENUE,14620,15
6059,76334.21,10333.18,13359.08,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - East Long Island,MINEOLA,330167,WINTHROP-UNIVERSITY HOSPITAL,NY,259 FIRST STREET,11501,38
6060,53942.44,11547.44,13856.67,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Manhattan,NEW YORK,330169,MOUNT SINAI BETH ISRAEL/PETRIE CAMPUS,NY,FIRST AVENUE AT 16TH STREET,10003,57
6061,81613.71,9981.76,11728.71,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - East Long Island,ROSLYN,330182,"ST FRANCIS HOSPITAL, ROSLYN",NY,100 PORT WASHINGTON BOULEVARD,11576,21
6062,35995.55,10161.82,12632.64,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Bronx,NEW ROCHELLE,330184,MONTEFIORE NEW ROCHELLE HOSPITAL,NY,16 GUION PLACE,10802,11
6063,59060.20,9637.87,10410.20,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - East Long Island,PORT JEFFERSON,330185,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,NY,75 NORTH COUNTRY ROAD,11777,15
6064,36826.24,6142.24,7538.67,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Albany,GLENS FALLS,330191,GLENS FALLS HOSPITAL,NY,100 PARK STREET,12801,21
6065,27295.84,12056.63,14159.37,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - East Long Island,FLUSHING,330193,FLUSHING HOSPITAL MEDICAL CENTER,NY,45TH AVENUE AND PARSONS BOULEVARD,11355,19
6066,54233.20,12203.15,15265.10,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Manhattan,BROOKLYN,330194,MAIMONIDES MEDICAL CENTER,NY,4802 TENTH AVENUE,11219,20
6067,55103.39,12035.30,13599.69,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - East Long Island,NEW HYDE PARK,330195,LONG ISLAND JEWISH MEDICAL CENTER,NY,270 - 05 76TH AVENUE,11040,77
6068,42337.10,12553.50,14050.60,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Manhattan,BROOKLYN,330196,CONEY ISLAND HOSPITAL,NY,2601 OCEAN PARKWAY,11235,20
6069,46748.30,9112.48,10266.04,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - East Long Island,OCEANSIDE,330198,SOUTH NASSAU COMMUNITIES HOSPITAL,NY,ONE HEALTHY WAY,11572,23
6070,41573.20,10707.47,12620.53,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Manhattan,BROOKLYN,330201,KINGSBROOK JEWISH MEDICAL CENTER,NY,585 SCHENECTADY AVENUE,11203,15
6071,17175.25,7677.60,9447.60,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Syracuse,SYRACUSE,330203,CROUSE HOSPITAL,NY,736 IRVING AVENUE,13210,20
6072,26779.73,10057.18,11347.45,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - White Plains,YONKERS,330208,ST JOHN'S RIVERSIDE HOSPITAL,NY,976 NORTH BROADWAY,10701,11
6073,63298.83,12381.68,16544.20,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Manhattan,NEW YORK,330214,NYU HOSPITALS CENTER,NY,550 FIRST AVENUE,10016,41
6074,17738.40,9826.00,15006.45,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Buffalo,BUFFALO,330219,ERIE COUNTY MEDICAL CENTER,NY,462 GRIDER STREET,14215,20
6075,19784.19,13241.19,15157.90,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Manhattan,BROOKLYN,330221,WYCKOFF HEIGHTS MEDICAL CENTER,NY,374 STOCKHOLM STREET,11237,21
6076,34154.22,6428.70,7209.04,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Albany,SARATOGA SPRINGS,330222,SARATOGA HOSPITAL,NY,211 CHURCH STREET,12866,23
6077,25066.80,7883.00,9913.47,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - Rochester,ROCHESTER,330226,UNITY HOSPITAL OF ROCHESTER,NY,1555 LONG POND ROAD,14626,15
6078,133194.00,16434.75,19454.33,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",NY - White Plains,VALHALLA,330234,WESTCHESTER MEDICAL CENTER,NY,100 WOODS RD,10595,12
